Topology of CG heptane translated from gromacs input

 968 atoms
 0 bonds
 0 angles
 0 dihedrals
 0 impropers

 1 atom types
 0 bond types
 0 angle types
 0 dihedral types
 0 improper types

 0.000000 39.983300 xlo xhi
 0.000000 39.983300 ylo yhi
 0.000000 39.983300 zlo zhi

Masses

 1 32.042 # MEO

Atoms

 1 1 1 0.0 28.870000 8.210000 10.910000 # MEO
 2 1 1 0.0 37.940000 39.360000 28.090000 # MEO
 3 1 1 0.0 25.680000 20.100000 20.520000 # MEO
 4 1 1 0.0 3.410000 6.060000 15.680000 # MEO
 5 1 1 0.0 38.790000 7.940000 32.550000 # MEO
 6 1 1 0.0 35.880000 35.600000 28.800000 # MEO
 7 1 1 0.0 21.730000 12.250000 24.570000 # MEO
 8 1 1 0.0 3.240000 18.520000 4.800000 # MEO
 9 1 1 0.0 15.120000 7.690000 10.440000 # MEO
 10 1 1 0.0 4.690000 31.730000 20.360000 # MEO
 11 1 1 0.0 39.210000 32.560000 32.000000 # MEO
 12 1 1 0.0 9.960000 11.210000 13.410000 # MEO
 13 1 1 0.0 20.730000 16.770000 19.750000 # MEO
 14 1 1 0.0 17.290000 38.570000 26.860000 # MEO
 15 1 1 0.0 36.480000 38.530000 1.730000 # MEO
 16 1 1 0.0 17.340000 7.580000 3.470000 # MEO
 17 1 1 0.0 28.660000 6.770000 24.600000 # MEO
 18 1 1 0.0 36.450000 27.940000 6.880000 # MEO
 19 1 1 0.0 18.060000 10.150000 21.910000 # MEO
 20 1 1 0.0 5.170000 36.650000 20.240000 # MEO
 21 1 1 0.0 29.790000 33.220000 18.470000 # MEO
 22 1 1 0.0 5.320000 17.570000 38.850000 # MEO
 23 1 1 0.0 22.620000 36.130000 0.860000 # MEO
 24 1 1 0.0 39.070000 25.140000 0.920000 # MEO
 25 1 1 0.0 14.860000 22.390000 9.130000 # MEO
 26 1 1 0.0 13.570000 4.460000 20.170000 # MEO
 27 1 1 0.0 14.180000 6.020000 34.770000 # MEO
